Customer ID,Customer Name,Region,Email,Phone,Industry,Customer City,Country,Zip
1,Lauren Barr,North,morganamy@gmail.com,001-508-070-2916x67243,Healthcare,Johnstonville,UK,77597
2,Mary Beard,South,shannon87@hotmail.com,420-109-5170,Education,Port Shelleyton,Australia,86104
3,Keith Rodriguez,North,charlesbarnes@reeves.com,001-789-191-8379x677,Hospitality,West Tracyfurt,India,57612
4,Karen Frazier,East,fhernandez@yahoo.com,+1-021-627-2409x9163,Education,Samuelport,France,08929
5,James Harrell,South,john44@mcbride.biz,091.780.9802x12362,Retail,Jessicabury,USA,30154
6,Jaime James,South,shill@hotmail.com,(648)029-4346x89172,Healthcare,Stevenport,Australia,68089
7,Paul Kane,East,paynechristine@cruz-hall.biz,+1-763-584-6812x4839,Education,Davisberg,UK,14052
8,Mark Edwards,East,jilljohnson@hall-clark.com,+1-499-968-8829x53607,Technology,Port Stephaniefort,USA,31018
9,Katherine Caldwell,East,joycestacy@williams.com,+1-712-315-6037x309,Education,Port Shannon,Germany,10373
10,Richard Norton,North,pbaker@jones.com,338.921.1604x3877,Healthcare,Jessicachester,Canada,53724
11,Bonnie Phillips,West,pburke@bond-blair.com,751-842-4673,Manufacturing,East Diana,UK,49217
12,Ryan Montgomery,East,lewislinda@solis-mcgee.com,(611)477-2800,Technology,Port Davidside,Germany,97818
13,James Wright,East,hallamanda@yahoo.com,+1-734-807-9608,Retail,Terrellmouth,France,75062
14,Kyle Anderson,South,brett58@yahoo.com,001-631-350-3898x453,Healthcare,Pricebury,UK,87674
15,Douglas Good,East,morganlopez@jenkins.net,(807)540-1679x282,Education,Port Sherry,France,15697
16,Daniel Martin,South,amyvasquez@simmons.biz,927.805.8764x65837,Hospitality,Samanthaborough,Germany,02094
17,Patrick Turner,West,leebobby@young.com,(659)358-8522x4883,Manufacturing,Callahanborough,India,34800
18,Ashley Phillips,North,edward18@yahoo.com,+1-890-889-6669x54557,Retail,Bernardland,India,57501
19,Michael Wright,East,ncarr@gmail.com,001-398-928-6314x538,Technology,Michaelfort,India,73888
20,Thomas Bond,East,smithleah@white-lee.org,001-754-618-6492x140,Hospitality,North Lindashire,UK,43941
21,Christopher Steele,East,julielawson@gmail.com,202-237-3109,Hospitality,Timland,Germany,63799
22,Diana Rivera,West,carlsonjoshua@yahoo.com,001-619-323-3051,Healthcare,New Teresa,USA,41597
23,Robert Golden,North,ramosjoseph@gmail.com,(983)765-0794,Finance,Morgantown,India,06477
24,Mitchell Ellis,West,newmanmichael@hotmail.com,475.469.2868,Hospitality,South Matthewberg,Germany,88892
25,John Anthony,South,taylormackenzie@hotmail.com,693-552-2398x8818,Education,Carolside,UK,17212
26,Nicholas Reynolds,East,cynthiachase@gmail.com,465-020-3143x079,Technology,Sheaberg,UK,46808
27,Mark Henson,North,ioconnell@yahoo.com,784.272.1548x518,Education,New Timothyport,Canada,98847
28,Cindy Graham,South,lindagarcia@gmail.com,197-479-9893x150,Healthcare,Campbellport,Canada,79188
29,Alexander Fischer,North,wheelercraig@yahoo.com,252-025-9424x092,Finance,Nicholasville,UK,69297
